repo,user_id,user_login,contributions,account_created_at,public_repos,followers
rust-lang/rust,9063376,withoutboats,54,2014-10-08T00:46:37Z,71,1968
rust-lang/rust,7472843,davidsemakula,53,2014-05-03T08:06:07Z,39,35
rust-lang/rust,9827696,zacps,53,2014-11-18T18:30:46Z,48,53
rust-lang/rust,173219,vi,53,2009-12-28T20:09:42Z,246,343
rust-lang/rust,3668166,tgnottingham,53,2013-02-22T09:32:39Z,26,5
rust-lang/rust,2770647,simonvandel,53,2012-11-11T09:26:41Z,70,7
rust-lang/rust,164213,gifnksm,53,2009-12-08T05:09:25Z,69,58
rust-lang/rust,28969,stepancheg,52,2008-10-14T21:11:14Z,163,496
rust-lang/rust,140199,vhbit,52,2009-10-15T14:31:57Z,108,36
rust-lang/rust,55424,seivan,52,2009-02-18T01:43:56Z,22,169
rust-lang/rust,3148704,lukaslueg,52,2012-12-29T15:20:01Z,29,62
rust-lang/rust,6864584,Voultapher,52,2014-03-05T17:52:49Z,68,98
rust-lang/rust,19656507,JarredAllen,52,2016-05-30T22:08:31Z,61,12
rust-lang/rust,32459019,irinagpopa,52,2017-10-02T14:38:43Z,3,0
rust-lang/rust,591682,anasazi,52,2011-01-30T20:18:23Z,11,10
rust-lang/rust,6496454,azdavis,51,2014-01-24T23:52:58Z,34,69
rust-lang/rust,13580199,sasurau4,51,2015-07-31T00:42:47Z,82,63
rust-lang/rust,8983542,davidlattimore,51,2014-10-01T11:09:39Z,47,294
rust-lang/rust,18645382,LingMan,51,2016-04-24T15:45:23Z,50,7
rust-lang/rust,50972773,kyoto7250,50,2019-05-24T01:01:37Z,96,11
rust-lang/rust,238325,xobs,50,2010-04-06T23:14:28Z,340,640
rust-lang/rust,5663581,mikhail-m1,50,2013-10-11T10:53:28Z,11,2
rust-lang/rust,1647645,glaubitz,50,2012-04-16T10:16:56Z,145,79
rust-lang/rust,510012,gfreezy,49,2010-12-05T07:09:32Z,169,105
rust-lang/rust,1645124,daxpedda,49,2012-04-15T12:31:34Z,115,55
rust-lang/rust,32646674,veera-sivarajan,49,2017-10-09T16:07:38Z,64,40
rust-lang/rust,11885535,tnielens,49,2015-04-10T10:28:50Z,20,10
rust-lang/rust,6806266,LinkTed,49,2014-02-27T15:17:24Z,17,10
rust-lang/rust,3248587,KiChjang,49,2013-01-11T23:24:48Z,105,229
